cell_id,z,y,x,CD31,CD20,CD11b,CD4,CD11c,Catalase,marker
CD31_66,76,283,698,0.4305,0.5712,0.3471,0.2915,0.4605,0.324,CD31
CD31_67,89,361,785,0.326,0.3367,0.201,0.2007,0.2743,0.383,CD31
CD31_68,76,209,1178,0.3767,0.4261,0.3747,0.3585,0.3008,0.4998,CD31
CD31_69,78,269,692,0.3799,0.441,0.3091,0.3678,0.4754,0.379,CD31
CD31_7,65,156,1294,0.3688,0.3559,0.2115,0.2715,0.2843,0.3261,CD31
CD31_70,81,278,701,0.4198,0.4234,0.251,0.23,0.3144,0.2798,CD31
CD31_71,97,456,604,0.3415,0.3695,0.382,0.227,0.2432,0.32,CD31
CD31_72,95,543,345,0.2925,0.2644,0.1969,0.2044,0.2592,0.6066,CD31
CD31_73,78,142,1128,0.3845,0.4998,0.2309,0.2926,0.3106,0.3209,CD31
CD31_74,83,284,702,0.4575,0.5247,0.2974,0.3207,0.3568,0.3876,CD31
CD31_75,80,293,1056,0.3469,0.4894,0.3908,0.2278,0.3994,0.3412,CD31
CD31_76,83,346,885,0.3364,0.3686,0.2768,0.2591,0.3151,0.3102,CD31
CD31_77,91,603,164,0.3151,0.3378,0.1694,0.2256,0.2425,0.5161,CD31
CD31_78,83,230,1029,0.3806,0.5428,0.253,0.3066,0.3332,0.3012,CD31
CD31_79,83,291,906,0.4142,0.6631,0.2963,0.4017,0.3563,0.3974,CD31
CD31_8,69,357,814,0.3716,0.2774,0.2691,0.238,0.3067,0.343,CD31
CD31_80,89,327,768,0.4101,0.3391,0.2231,0.2238,0.2692,0.3451,CD31
CD31_81,82,326,642,0.4605,0.6034,0.3249,0.322,0.2879,0.4057,CD31
CD31_82,83,352,717,0.4905,0.4205,0.308,0.3378,0.4252,0.7089,CD31
CD31_83,81,369,811,0.5342,0.4142,0.3323,0.2951,0.4081,0.6594,CD31
CD31_84,104,579,294,0.3224,0.3957,0.1716,0.1731,0.3045,0.3431,CD31
CD31_85,86,209,900,0.4729,0.3844,0.3187,0.3025,0.381,0.3011,CD31
CD31_86,89,321,742,0.3615,0.4045,0.2288,0.3842,0.3481,0.2665,CD31
CD31_87,90,534,163,0.3361,0.4278,0.484,0.3567,0.3143,0.6035,CD31
CD31_88,96,428,432,0.2996,0.2887,0.2256,0.2682,0.2629,0.2656,CD31
CD31_89,100,641,132,0.2817,0.3258,0.1929,0.2774,0.2275,0.5592,CD31
CD31_9,82,373,793,0.3224,0.6853,0.212,0.2414,0.248,0.2616,CD31
CD31_90,89,351,830,0.4947,0.3944,0.3134,0.3708,0.41,0.3818,CD31
CD31_91,96,555,336,0.3404,0.2434,0.2148,0.3018,0.2724,0.4119,CD31
CD31_92,94,366,824,0.3394,0.4047,0.2474,0.2236,0.2958,0.3705,CD31
CD31_93,92,596,72,0.4195,0.3823,0.231,0.3274,0.2975,0.4473,CD31
CD31_94,94,516,369,0.3812,0.3082,0.2243,0.2099,0.2801,0.2608,CD31
CD31_95,99,673,121,0.4324,0.3569,0.2782,0.1539,0.2933,0.2638,CD31
CD31_96,94,330,779,0.3773,0.4906,0.2767,0.3062,0.2669,0.372,CD31
CD31_97,91,370,807,0.4848,0.5266,0.2816,0.3163,0.5312,0.4267,CD31
CD31_98,98,613,167,0.3562,0.4531,0.2865,0.406,0.268,0.5952,CD31
CD31_99,94,132,1159,0.4415,0.5895,0.2932,0.308,0.273,0.4598,CD31
CD4_1,25,260,1060,0.0,0.432,0.3268,0.2491,0.0,0.0,CD4
CD4_10,87,111,1220,0.3297,0.3663,0.2203,0.2336,0.2652,0.3883,CD4
CD4_11,89,258,1132,0.3485,0.5864,0.6359,0.3149,0.5801,0.8851,CD4
CD4_12,101,203,1250,0.282,0.531,0.2303,0.2794,0.2674,0.2981,CD4
CD4_13,103,257,1130,0.2773,0.525,0.2482,0.314,0.2426,0.2978,CD4
CD4_14,103,464,362,0.3882,0.8849,0.2939,0.5628,0.3311,0.3957,CD4
CD4_15,95,164,1130,0.3773,0.551,0.2936,0.3062,0.2707,0.4408,CD4
CD4_16,111,123,592,0.4637,0.7968,0.3454,0.5095,0.4873,0.528,CD4
CD4_17,119,246,1122,0.3508,0.5099,0.2947,0.3053,0.4729,0.3767,CD4
CD4_18,129,250,1129,0.2905,0.382,0.2475,0.2887,0.3021,0.4054,CD4
CD4_19,126,236,1137,0.3715,0.518,0.3204,0.3936,0.312,0.427,CD4
CD4_2,68,322,990,0.3807,0.9144,0.1722,0.1673,0.2251,0.3776,CD4
CD4_20,127,243,1131,0.4463,0.543,0.2932,0.4005,0.4479,0.3574,CD4
CD4_21,146,494,7,0.34,0.9286,0.3024,0.4722,0.3264,0.0,CD4
CD4_22,153,82,616,0.4277,0.9444,0.2799,0.516,0.3511,0.6794,CD4
CD4_3,30,554,324,0.0,0.4854,0.462,0.2384,0.0,0.0,CD4
CD4_4,51,102,1315,0.3942,0.8837,0.3094,0.2093,0.3029,0.3791,CD4
CD4_5,72,360,782,0.3224,0.8833,0.1974,0.2404,0.2708,0.3198,CD4
CD4_6,64,403,159,0.3346,0.7183,0.292,0.3383,0.2965,0.4005,CD4
CD4_7,103,520,513,0.2436,0.862,0.1836,0.2449,0.1819,0.3214,CD4
CD4_8,75,98,1306,0.3013,0.3995,0.3324,0.2678,0.3739,0.3084,CD4
CD4_9,83,400,580,0.3122,0.5023,0.2695,0.2326,0.3449,0.3005,CD4
Catalase_1,45,365,356,0.3302,0.35,0.2556,0.2752,0.2663,0.5412,Catalase
Catalase_10,85,271,1074,0.2683,0.2926,0.4571,0.2198,0.327,0.4996,Catalase
Catalase_100,136,390,858,0.2935,0.634,0.2498,0.351,0.3587,0.5335,Catalase
Catalase_101,141,415,651,0.3083,0.4463,0.225,0.324,0.3051,0.6621,Catalase
Catalase_102,141,583,316,0.3503,0.5019,0.2892,0.2274,0.3615,0.5304,Catalase
Catalase_103,143,333,779,0.2998,0.4844,0.2188,0.4308,0.2699,0.6808,Catalase
Catalase_104,147,224,1201,0.34,0.4445,0.3651,0.3023,0.3733,0.8877,Catalase
Catalase_105,147,386,815,0.3956,0.474,0.2486,0.3367,0.3826,0.5613,Catalase
Catalase_106,149,321,824,0.3756,0.4483,0.1921,0.4168,0.4571,0.5617,Catalase
Catalase_107,156,445,60,0.4396,0.4202,0.6444,0.5248,0.4669,0.6686,Catalase
